step,active_vehicles,total_system_wait
0,1,0.0
10,21,0.0
20,41,22.0
30,61,72.0
40,81,151.0
50,101,234.0
60,119,405.0
70,137,623.0
80,156,930.0
90,175,1331.0
100,193,1669.0
110,213,1897.0
120,231,2236.0
130,246,2657.0
140,261,3216.0
150,277,3730.0
160,292,4012.0
170,300,4189.0
180,317,4510.0
190,332,4794.0
200,347,5234.0
210,358,5876.0
220,371,6287.0
230,375,6617.0
240,375,6669.0
250,386,7017.0
260,398,7369.0
270,405,7761.0
280,406,8049.0
290,415,8269.0
300,428,8439.0
310,436,8556.0
320,442,8737.0
330,455,9052.0
340,466,9277.0
350,464,9441.0
360,461,9635.0
370,467,9781.0
380,477,9948.0
390,480,10073.0
400,487,10305.0
410,491,10265.0
420,500,10201.0
430,498,10191.0
440,499,10398.0
450,509,10433.0
460,513,10387.0
470,519,10405.0
480,523,10665.0
490,523,10659.0
500,524,10761.0
510,527,10922.0
520,519,11145.0
530,523,11309.0
540,519,11564.0
550,516,11601.0
560,521,11441.0
570,521,11248.0
580,527,11457.0
590,529,11360.0
600,532,11136.0
610,537,11141.0
620,544,11195.0
630,545,11498.0
640,541,11701.0
650,547,11814.0
660,535,11685.0
670,539,11555.0
680,536,11629.0
690,544,11725.0
700,547,11909.0
710,547,11775.0
720,545,11410.0
730,545,11022.0
740,541,10808.0
750,544,11079.0
760,551,11864.0
770,551,11870.0
780,543,11684.0
790,539,11628.0
800,545,11727.0
810,542,11991.0
820,543,12176.0
830,541,12212.0
840,539,12388.0
850,541,12432.0
860,545,12557.0
870,542,12784.0
880,550,13389.0
890,548,13882.0
900,556,14531.0
910,561,14716.0
920,554,14511.0
930,556,14712.0
940,558,15063.0
950,568,15887.0
960,576,16509.0
970,576,16492.0
980,575,16356.0
990,579,16537.0
1000,583,16858.0
1010,589,17290.0
1020,594,17995.0
1030,597,18394.0
1040,604,18827.0
1050,608,18862.0
1060,611,18907.0
1070,610,19442.0
1080,612,20053.0
1090,620,20550.0
1100,628,20868.0
1110,633,21068.0
1120,638,21158.0
1130,650,21056.0
1140,656,20649.0
1150,660,20824.0
1160,648,20783.0
1170,653,20492.0
1180,659,20421.0
1190,662,20397.0
1200,671,20424.0
1210,676,20581.0
1220,674,20716.0
1230,672,21361.0
1240,666,22084.0
1250,670,22596.0
1260,668,22866.0
1270,669,23402.0
1280,672,23944.0
1290,676,24579.0
1300,682,25142.0
1310,684,25509.0
1320,681,25734.0
1330,685,25914.0
1340,696,26219.0
1350,701,26683.0
1360,705,27355.0
1370,710,27471.0
1380,716,27676.0
1390,717,27977.0
1400,719,28153.0
1410,725,28478.0
1420,726,29038.0
1430,729,29480.0
1440,726,29488.0
1450,728,29500.0
1460,734,29334.0
1470,740,29366.0
1480,742,29536.0
1490,744,29875.0
1500,756,30374.0
1510,751,30913.0
1520,755,31400.0
1530,757,32031.0
1540,758,32856.0
1550,763,33807.0
1560,767,35068.0
1570,778,36358.0
1580,779,36907.0
1590,785,37172.0
1600,788,37437.0
1610,792,37792.0
1620,794,38142.0
1630,798,38182.0
1640,798,38215.0
1650,809,38300.0
1660,818,37833.0
1670,823,37845.0
1680,825,38071.0
1690,828,38844.0
1700,831,39206.0
1710,833,39308.0
1720,838,39694.0
1730,841,40361.0
1740,842,41033.0
1750,853,41785.0
1760,854,42556.0
1770,865,43257.0
1780,873,43804.0
1790,880,44158.0
1800,885,44752.0
1810,887,45268.0
1820,887,45956.0
1830,894,46579.0
1840,896,47442.0
1850,906,48155.0
1860,910,48976.0
1870,916,49378.0
1880,917,49905.0
1890,917,50596.0
1900,921,51434.0
1910,935,52220.0
1920,937,52668.0
1930,943,52921.0
1940,943,52913.0
1950,952,53301.0
1960,959,53609.0
1970,959,54527.0
1980,958,55327.0
1990,966,56468.0
2000,975,57504.0
2010,985,58160.0
2020,993,59006.0
2030,997,59671.0
2040,1004,60261.0
2050,1009,60880.0
2060,1014,61377.0
2070,1022,61582.0
2080,1030,62229.0
2090,1041,62890.0
2100,1047,63363.0
2110,1050,63955.0
2120,1053,64568.0
2130,1057,65323.0
2140,1065,65998.0
2150,1067,66561.0
2160,1077,67483.0
2170,1084,68462.0
2180,1093,69460.0
2190,1096,70314.0
2200,1098,71460.0
2210,1109,72720.0
2220,1119,73933.0
2230,1125,75042.0
2240,1128,75992.0
2250,1135,76850.0
2260,1144,77569.0
2270,1155,78579.0
2280,1167,79752.0
2290,1174,80868.0
2300,1183,81586.0
2310,1189,82149.0
2320,1195,83127.0
2330,1202,83847.0
2340,1211,84495.0
2350,1221,85568.0
2360,1226,86829.0
2370,1228,87757.0
2380,1237,88353.0
2390,1241,89135.0
2400,1250,90247.0
2410,1260,91480.0
2420,1270,92431.0
2430,1279,93151.0
2440,1286,94174.0
2450,1292,94950.0
2460,1299,95523.0
2470,1310,96359.0
2480,1318,97464.0
2490,1318,98318.0
2500,1325,98934.0
2510,1331,99475.0
2520,1337,100218.0
2530,1342,100986.0
2540,1351,101928.0
2550,1362,102961.0
2560,1373,103739.0
2570,1383,104567.0
2580,1397,105306.0
2590,1408,106095.0
2600,1411,107110.0
2610,1418,108201.0
2620,1426,109212.0
2630,1434,110119.0
2640,1436,111226.0
2650,1443,112294.0
2660,1447,113262.0
2670,1456,114539.0
2680,1469,116015.0
2690,1478,117365.0
2700,1480,118359.0
2710,1487,119458.0
2720,1498,120848.0
2730,1501,122243.0
2740,1516,123449.0
2750,1525,124789.0
2760,1534,126017.0
2770,1546,127107.0
2780,1558,128278.0
2790,1572,129271.0
2800,1583,130654.0
2810,1582,132199.0
2820,1596,133495.0
2830,1603,134523.0
2840,1621,135732.0
2850,1635,136983.0
2860,1647,138315.0
2870,1656,139466.0
2880,1663,140556.0
2890,1667,141703.0
2900,1676,142899.0
2910,1690,143911.0
2920,1703,145242.0
2930,1715,146479.0
2940,1725,147692.0
2950,1733,148612.0
2960,1745,149532.0
2970,1758,150663.0
2980,1768,151650.0
2990,1775,152543.0
3000,1784,153455.0
3010,1790,154533.0
3020,1803,155694.0
3030,1810,156504.0
3040,1819,157670.0
3050,1830,158956.0
3060,1843,160391.0
3070,1855,161733.0
3080,1865,162894.0
3090,1878,164161.0
3100,1890,165482.0
3110,1901,166960.0
3120,1916,168206.0
3130,1926,169497.0
3140,1943,170807.0
3150,1953,172114.0
3160,1964,173236.0
3170,1978,174514.0
3180,1991,176019.0
3190,1994,177240.0
3200,2006,178362.0
3210,2018,179436.0
3220,2029,180801.0
3230,2039,182082.0
3240,2049,183213.0
3250,2057,184480.0
3260,2059,185738.0
3270,2070,187173.0
3280,2080,188347.0
3290,2087,189529.0
3300,2100,190896.0
3310,2114,192369.0
3320,2128,193712.0
3330,2145,195066.0
3340,2158,196310.0
3350,2171,197435.0
3360,2184,198619.0
3370,2197,199679.0
3380,2207,200822.0
3390,2218,201965.0
3400,2231,203092.0
3410,2246,204229.0
3420,2256,205513.0
3430,2268,206789.0
3440,2280,208151.0
3450,2285,209317.0
3460,2296,210430.0
3470,2305,211637.0
3480,2317,212834.0
3490,2332,214164.0
3500,2346,215470.0
3510,2359,216633.0
3520,2373,217822.0
3530,2383,219174.0
3540,2394,220427.0
3550,2407,221730.0
3560,2419,223001.0
3570,2433,224424.0
3580,2446,225932.0
3590,2454,227185.0
