step,active_vehicles,total_system_wait
0,1,0.0
10,3,0.0
20,6,0.0
30,8,0.0
40,11,3.0
50,13,14.0
60,16,21.0
70,18,48.0
80,20,88.0
90,22,123.0
100,25,146.0
110,27,169.0
120,29,211.0
130,31,280.0
140,32,338.0
150,33,366.0
160,36,398.0
170,38,439.0
180,41,497.0
190,42,551.0
200,45,628.0
210,44,691.0
220,46,764.0
230,48,810.0
240,48,851.0
250,48,854.0
260,49,849.0
270,50,869.0
280,52,919.0
290,53,941.0
300,55,975.0
310,54,933.0
320,54,962.0
330,54,1019.0
340,52,952.0
350,53,947.0
360,53,965.0
370,54,955.0
380,55,949.0
390,53,847.0
400,55,857.0
410,56,899.0
420,54,853.0
430,54,779.0
440,55,790.0
450,54,848.0
460,56,927.0
470,54,981.0
480,55,953.0
490,54,944.0
500,54,914.0
510,55,841.0
520,55,760.0
530,56,855.0
540,57,896.0
550,58,896.0
560,57,849.0
570,57,826.0
580,59,859.0
590,59,926.0
600,56,895.0
610,55,933.0
620,56,945.0
630,56,963.0
640,58,964.0
650,58,1040.0
660,59,1056.0
670,59,1067.0
680,60,1100.0
690,60,1092.0
700,58,1003.0
710,58,905.0
720,57,880.0
730,56,833.0
740,55,824.0
750,56,822.0
760,57,818.0
770,52,782.0
780,52,745.0
790,51,809.0
800,52,868.0
810,52,890.0
820,51,846.0
830,51,832.0
840,53,847.0
850,55,875.0
860,56,871.0
870,56,934.0
880,51,970.0
890,51,979.0
900,52,968.0
910,53,961.0
920,49,853.0
930,51,896.0
940,51,929.0
950,52,954.0
960,53,953.0
970,52,889.0
980,53,852.0
990,53,869.0
1000,53,901.0
1010,55,972.0
1020,55,1027.0
1030,56,1054.0
1040,58,1110.0
1050,59,1120.0
1060,62,1139.0
1070,63,1137.0
1080,61,1193.0
1090,59,1122.0
1100,59,1086.0
1110,59,1123.0
1120,61,1182.0
1130,58,1088.0
1140,61,1128.0
1150,61,1216.0
1160,61,1270.0
1170,61,1258.0
1180,63,1274.0
1190,62,1225.0
1200,62,1208.0
1210,61,1153.0
1220,58,1076.0
1230,57,1006.0
1240,55,934.0
1250,57,893.0
1260,59,885.0
1270,58,921.0
1280,61,997.0
1290,62,1028.0
1300,60,959.0
1310,60,936.0
1320,59,915.0
1330,59,949.0
1340,61,1013.0
1350,58,990.0
1360,57,981.0
1370,56,1019.0
1380,57,1064.0
1390,58,1050.0
1400,57,988.0
1410,57,975.0
1420,59,930.0
1430,58,866.0
