step,active_vehicles,total_system_wait
0,1,0.0
10,6,0.0
20,11,0.0
30,16,14.0
40,21,27.0
50,26,54.0
60,31,96.0
70,34,153.0
80,39,225.0
90,44,293.0
100,49,362.0
110,53,420.0
120,58,526.0
130,63,648.0
140,68,803.0
150,70,898.0
160,74,963.0
170,78,1052.0
180,82,1158.0
190,86,1243.0
200,87,1262.0
210,90,1346.0
220,90,1346.0
230,93,1410.0
240,96,1433.0
250,97,1405.0
260,99,1386.0
270,97,1262.0
280,98,1241.0
290,101,1325.0
300,101,1372.0
310,102,1322.0
320,105,1386.0
330,107,1388.0
340,109,1469.0
350,106,1499.0
360,109,1692.0
370,110,1780.0
380,110,1656.0
390,109,1659.0
400,111,1709.0
410,115,1871.0
420,113,2013.0
430,112,2045.0
440,109,1985.0
450,112,1949.0
460,109,1859.0
470,111,1863.0
480,112,1813.0
490,110,1770.0
500,108,1712.0
510,109,1668.0
520,109,1643.0
530,107,1666.0
540,110,1734.0
550,111,1705.0
560,112,1687.0
570,114,1714.0
580,114,1711.0
590,106,1737.0
600,107,1795.0
610,108,1835.0
620,107,1713.0
630,104,1574.0
640,105,1548.0
650,105,1560.0
660,106,1564.0
670,107,1607.0
680,107,1614.0
690,109,1621.0
700,112,1560.0
710,113,1585.0
720,107,1582.0
730,103,1673.0
740,107,1828.0
750,109,1860.0
760,113,1845.0
770,114,1908.0
780,114,1983.0
790,112,2058.0
800,116,2139.0
810,118,2134.0
820,118,2124.0
830,119,2276.0
840,120,2331.0
850,119,2231.0
860,115,2178.0
870,115,2175.0
880,117,2092.0
890,117,1998.0
900,118,1955.0
910,113,1866.0
920,111,1873.0
930,112,1676.0
940,109,1503.0
950,110,1496.0
960,104,1406.0
970,103,1420.0
980,106,1563.0
990,108,1678.0
1000,109,1680.0
1010,108,1622.0
1020,110,1748.0
1030,111,1766.0
1040,110,1774.0
1050,111,1784.0
1060,109,1680.0
1070,109,1638.0
1080,113,1591.0
1090,111,1513.0
1100,111,1479.0
1110,110,1437.0
1120,107,1481.0
1130,105,1540.0
1140,99,1542.0
1150,98,1539.0
1160,100,1511.0
1170,104,1596.0
1180,104,1593.0
1190,101,1576.0
1200,103,1738.0
1210,103,1813.0
1220,104,1793.0
1230,107,1724.0
1240,107,1735.0
1250,105,1712.0
1260,107,1732.0
1270,108,1760.0
1280,110,1819.0
1290,112,1796.0
1300,111,1715.0
1310,115,1718.0
1320,116,1722.0
1330,118,1759.0
1340,118,1639.0
1350,120,1618.0
1360,118,1585.0
1370,120,1622.0
1380,118,1589.0
1390,119,1610.0
1400,118,1567.0
1410,118,1584.0
1420,118,1678.0
1430,116,1690.0
1440,113,1666.0
1450,113,1627.0
1460,115,1697.0
1470,117,1687.0
1480,113,1605.0
1490,112,1577.0
1500,111,1649.0
1510,114,1723.0
1520,113,1719.0
1530,115,1654.0
1540,116,1623.0
1550,118,1661.0
1560,117,1663.0
1570,116,1732.0
1580,120,1826.0
1590,120,1802.0
1600,119,1800.0
1610,120,1849.0
1620,124,1903.0
1630,124,1907.0
1640,125,1992.0
1650,123,1966.0
1660,125,1896.0
1670,123,1896.0
1680,119,1866.0
1690,119,1863.0
1700,114,1793.0
1710,114,1751.0
1720,113,1715.0
1730,113,1760.0
1740,113,1679.0
1750,113,1703.0
1760,111,1689.0
1770,112,1646.0
1780,111,1696.0
1790,114,1735.0
1800,115,1698.0
1810,111,1622.0
1820,108,1611.0
1830,107,1586.0
1840,105,1498.0
1850,107,1417.0
1860,108,1384.0
1870,111,1487.0
1880,107,1558.0
1890,109,1645.0
1900,109,1713.0
1910,110,1769.0
1920,111,1862.0
1930,114,1924.0
1940,115,1970.0
1950,117,2023.0
1960,120,2152.0
1970,122,2168.0
1980,124,2172.0
1990,125,2218.0
2000,120,2115.0
2010,119,2096.0
2020,120,2053.0
2030,123,2052.0
2040,125,2021.0
2050,125,2044.0
2060,127,2121.0
2070,123,2041.0
2080,121,1919.0
2090,118,1794.0
2100,121,1839.0
2110,120,1902.0
2120,123,2003.0
2130,127,2052.0
2140,121,1937.0
2150,119,1982.0
2160,118,2014.0
2170,120,2080.0
2180,119,2102.0
2190,120,2133.0
2200,124,2186.0
2210,126,2207.0
2220,124,2290.0
2230,126,2328.0
2240,126,2205.0
2250,125,2147.0
2260,125,2142.0
2270,122,2025.0
2280,123,1993.0
2290,118,1851.0
2300,118,1845.0
2310,115,1736.0
2320,116,1722.0
2330,113,1724.0
2340,116,1776.0
2350,115,1749.0
2360,111,1628.0
2370,111,1636.0
2380,107,1624.0
2390,100,1569.0
2400,103,1594.0
2410,104,1580.0
2420,102,1536.0
2430,104,1540.0
2440,101,1484.0
2450,103,1549.0
2460,103,1575.0
2470,100,1484.0
2480,100,1413.0
2490,99,1310.0
2500,99,1313.0
2510,98,1344.0
2520,101,1342.0
2530,103,1305.0
2540,104,1255.0
2550,107,1277.0
2560,110,1259.0
2570,112,1339.0
2580,113,1427.0
2590,111,1478.0
2600,112,1480.0
2610,114,1500.0
2620,116,1542.0
2630,110,1520.0
2640,110,1599.0
2650,107,1531.0
2660,105,1546.0
2670,101,1552.0
2680,102,1529.0
2690,101,1554.0
2700,101,1596.0
2710,100,1558.0
2720,99,1520.0
2730,100,1428.0
2740,100,1476.0
2750,99,1478.0
2760,101,1491.0
2770,103,1450.0
2780,103,1385.0
2790,102,1302.0
2800,105,1387.0
2810,105,1424.0
